"transactionid";"customerid";"productid";"transactiondate";"quantity";"totalamount"
120;382;280;"2025-06-27 00:00:00";1;457.48
121;110;477;"2025-04-15 00:00:00";5;1708.75
122;2418;353;"2026-03-13 00:00:00";2;618.36
123;2956;142;"2025-05-31 00:00:00";5;1111.4
124;260;264;"2025-04-18 00:00:00";5;104.8
125;1124;204;"2026-03-12 00:00:00";2;381.8
126;1899;338;"2026-03-30 00:00:00";1;242.82
127;1608;150;"2025-08-15 00:00:00";1;176.1
128;2744;166;"2026-01-02 00:00:00";3;1162.92
129;642;432;"2025-07-24 00:00:00";3;36.72
130;1908;297;"2025-09-02 00:00:00";4;866.28
131;2837;403;"2026-04-05 00:00:00";4;1109.28
132;2753;211;"2025-10-24 00:00:00";3;955.89
133;161;411;"2025-10-27 00:00:00";5;2388.25
134;2386;480;"2025-08-10 00:00:00";3;255.18
135;1528;370;"2025-11-05 00:00:00";5;1049.9
136;2482;141;"2025-12-13 00:00:00";2;590.7
137;246;146;"2026-02-12 00:00:00";4;945.24
138;2619;418;"2025-07-20 00:00:00";5;519.45
139;2966;413;"2025-04-23 00:00:00";4;583.12
140;2673;185;"2025-12-21 00:00:00";2;464.18
141;1592;163;"2026-01-27 00:00:00";3;1182.69
142;2627;317;"2025-07-07 00:00:00";2;706.8
143;2342;492;"2025-12-03 00:00:00";4;53.2
144;1649;368;"2025-11-10 00:00:00";5;353.85
145;2498;206;"2026-01-14 00:00:00";2;20.84
146;1409;442;"2026-01-27 00:00:00";5;899.5
147;1960;436;"2025-12-16 00:00:00";1;372.14
148;883;67;"2025-11-24 00:00:00";5;1017.35
149;2350;110;"2025-06-13 00:00:00";4;137.8
150;973;221;"2025-08-02 00:00:00";2;213.0
151;1967;187;"2026-03-29 00:00:00";5;1925.75
152;459;410;"2026-01-08 00:00:00";1;448.98
153;2747;213;"2025-04-20 00:00:00";2;645.88
154;233;423;"2025-07-08 00:00:00";1;419.49
155;412;343;"2025-10-01 00:00:00";2;213.38
156;1246;360;"2026-03-01 00:00:00";1;226.25
157;1635;183;"2025-05-07 00:00:00";4;1869.2
158;1832;449;"2025-10-23 00:00:00";4;582.44
159;385;161;"2025-06-27 00:00:00";3;1190.28
160;818;302;"2025-10-27 00:00:00";1;423.04
161;461;5;"2026-02-13 00:00:00";1;10.27
162;1084;269;"2025-12-27 00:00:00";4;423.36
163;2066;27;"2026-02-27 00:00:00";3;481.14
164;82;415;"2025-05-19 00:00:00";5;851.1
165;575;109;"2025-12-22 00:00:00";2;898.4
166;1938;40;"2025-05-03 00:00:00";3;967.74
167;1780;462;"2025-04-22 00:00:00";4;46.52
168;325;176;"2025-08-16 00:00:00";1;34.94
169;1757;100;"2025-10-31 00:00:00";3;1208.7
170;1227;371;"2026-03-26 00:00:00";3;1282.83
171;1253;145;"2026-03-08 00:00:00";3;268.41
172;461;459;"2025-10-22 00:00:00";4;560.96
173;1236;46;"2025-08-20 00:00:00";4;1290.32
174;1224;408;"2025-05-04 00:00:00";4;351.8
175;1385;275;"2025-11-13 00:00:00";5;160.65
176;2173;158;"2025-07-06 00:00:00";3;1407.39
177;157;38;"2026-03-16 00:00:00";1;274.65
178;1048;454;"2025-08-02 00:00:00";4;339.0
179;1265;252;"2026-02-26 00:00:00";1;387.13
180;1808;336;"2025-10-30 00:00:00";2;61.46
181;2752;401;"2026-03-04 00:00:00";1;33.38
182;1739;289;"2026-03-25 00:00:00";4;367.48
183;2620;96;"2026-02-18 00:00:00";3;1439.85
184;1449;282;"2026-02-04 00:00:00";2;108.16
185;1696;483;"2026-02-13 00:00:00";1;304.94
186;2719;357;"2026-03-23 00:00:00";3;978.27
187;2442;360;"2026-02-28 00:00:00";2;452.5
188;1089;210;"2025-07-06 00:00:00";2;927.48
189;414;168;"2026-02-02 00:00:00";4;1415.88
190;303;14;"2026-03-19 00:00:00";2;798.02
191;707;43;"2026-03-04 00:00:00";1;178.63
192;2312;10;"2025-08-19 00:00:00";3;1278.0
193;1168;339;"2025-12-20 00:00:00";4;1106.76
194;2046;108;"2025-04-17 00:00:00";2;933.26
195;2881;221;"2025-09-09 00:00:00";5;532.5
196;2871;366;"2025-11-11 00:00:00";2;280.6
197;1616;318;"2025-12-16 00:00:00";5;1788.15
198;643;102;"2025-04-12 00:00:00";3;1396.35
199;2020;77;"2025-04-22 00:00:00";5;446.95
200;2485;112;"2026-02-09 00:00:00";3;1044.54
201;1065;285;"2026-03-18 00:00:00";4;1816.04
202;2432;165;"2026-01-04 00:00:00";5;2172.75
203;492;306;"2026-01-07 00:00:00";2;591.46
204;1155;27;"2025-04-22 00:00:00";2;320.76
205;749;352;"2025-12-04 00:00:00";3;361.26
206;981;379;"2026-03-28 00:00:00";4;1565.8
207;709;119;"2025-12-07 00:00:00";4;1477.24
208;1403;365;"2025-10-23 00:00:00";2;543.38
209;1688;236;"2025-09-04 00:00:00";4;823.4
210;802;386;"2026-01-23 00:00:00";3;918.78
211;2748;145;"2025-06-19 00:00:00";2;178.94
212;611;280;"2025-10-03 00:00:00";2;914.96
213;678;442;"2025-05-28 00:00:00";5;899.5
214;168;292;"2025-09-18 00:00:00";3;707.43
215;172;465;"2025-05-05 00:00:00";5;2348.85
216;271;382;"2026-03-17 00:00:00";5;1498.2
217;960;94;"2025-05-03 00:00:00";4;1165.76
218;992;349;"2025-05-27 00:00:00";3;1159.2
219;87;395;"2025-04-16 00:00:00";4;1546.88
220;1556;17;"2025-11-14 00:00:00";2;556.7
221;2350;230;"2025-05-31 00:00:00";5;2196.1
222;1541;147;"2025-05-03 00:00:00";2;597.58
223;2433;344;"2025-06-19 00:00:00";4;1580.68
224;1782;54;"2025-11-21 00:00:00";2;878.12
225;75;255;"2025-05-27 00:00:00";2;971.0
226;888;439;"2025-11-24 00:00:00";3;1458.9
227;639;476;"2026-01-19 00:00:00";1;74.17
228;382;113;"2025-09-17 00:00:00";1;333.67
229;441;177;"2025-07-22 00:00:00";5;613.45
230;1031;223;"2025-10-08 00:00:00";4;1137.76
231;658;145;"2026-02-09 00:00:00";2;178.94
232;1070;150;"2025-11-26 00:00:00";5;880.5
233;2757;438;"2026-02-15 00:00:00";3;189.78
234;2033;162;"2025-12-01 00:00:00";5;387.55
235;159;138;"2026-03-20 00:00:00";1;441.31
236;1067;375;"2025-05-16 00:00:00";1;391.35
237;1142;480;"2025-11-04 00:00:00";3;255.18
238;1886;135;"2025-09-26 00:00:00";2;390.8
239;1503;427;"2025-09-06 00:00:00";4;1148.84
240;1825;401;"2026-01-16 00:00:00";1;33.38
241;2004;218;"2025-09-21 00:00:00";3;287.43
242;2226;430;"2025-09-01 00:00:00";5;2426.55
243;1662;349;"2026-01-13 00:00:00";3;1159.2
244;937;60;"2025-09-13 00:00:00";5;1295.2
245;2579;175;"2025-10-31 00:00:00";2;468.44
246;2530;143;"2025-11-06 00:00:00";2;169.36
247;2287;264;"2026-01-02 00:00:00";2;41.92
248;2529;359;"2025-11-24 00:00:00";5;1007.25
249;1418;477;"2025-12-17 00:00:00";3;1025.25
250;371;427;"2026-02-26 00:00:00";4;1148.84
251;2219;453;"2025-05-22 00:00:00";2;371.92
252;199;259;"2025-12-12 00:00:00";2;150.68
253;2790;183;"2025-12-01 00:00:00";3;1401.9
254;2443;17;"2025-07-30 00:00:00";1;278.35
255;1001;202;"2026-01-07 00:00:00";4;590.76
256;927;458;"2025-11-10 00:00:00";5;212.65
257;1879;394;"2026-02-07 00:00:00";3;397.47
258;435;129;"2025-07-02 00:00:00";2;216.48
259;2720;496;"2025-04-20 00:00:00";4;1993.04
260;2329;188;"2026-01-12 00:00:00";4;689.92
261;421;228;"2025-10-27 00:00:00";1;316.71
262;2832;432;"2026-03-06 00:00:00";3;36.72
263;1837;83;"2025-10-22 00:00:00";2;436.94
264;2070;106;"2025-06-08 00:00:00";1;149.85
265;1867;295;"2025-07-27 00:00:00";1;498.62
266;4;224;"2026-02-18 00:00:00";2;363.64
267;1220;289;"2025-12-03 00:00:00";1;91.87
268;2802;366;"2025-08-21 00:00:00";3;420.9
269;1246;307;"2025-08-29 00:00:00";2;792.74
270;2508;499;"2025-09-02 00:00:00";1;37.63
271;2736;445;"2025-08-13 00:00:00";5;63.75
272;2860;299;"2025-07-23 00:00:00";1;11.31
273;1469;337;"2025-07-06 00:00:00";2;79.62
274;2307;382;"2025-11-03 00:00:00";1;299.64
275;1221;175;"2025-06-29 00:00:00";3;702.66
276;1839;47;"2025-07-11 00:00:00";1;440.87
277;2916;79;"2026-03-31 00:00:00";2;673.08
278;2869;174;"2025-12-22 00:00:00";1;32.59
279;851;218;"2026-03-02 00:00:00";1;95.81
280;1184;220;"2025-10-20 00:00:00";5;171.25
281;657;79;"2025-05-28 00:00:00";1;336.54
282;1721;53;"2026-01-13 00:00:00";3;736.65
283;1126;113;"2026-01-03 00:00:00";4;1334.68
284;2842;191;"2026-01-13 00:00:00";5;593.35
285;2630;305;"2025-08-03 00:00:00";5;1517.2
286;707;123;"2026-03-23 00:00:00";3;1340.82
287;2476;100;"2025-07-06 00:00:00";3;1208.7
288;908;490;"2026-01-10 00:00:00";4;1152.36
289;1824;456;"2026-03-31 00:00:00";4;1824.08
290;1918;236;"2026-01-19 00:00:00";3;617.55
291;2572;241;"2026-01-16 00:00:00";5;142.6
292;2399;271;"2025-10-28 00:00:00";1;370.96
293;1983;402;"2026-03-31 00:00:00";1;229.64
294;2517;34;"2025-10-07 00:00:00";5;178.25
295;2720;439;"2025-10-15 00:00:00";5;2431.5
296;539;167;"2025-08-12 00:00:00";2;596.2
297;2316;223;"2025-11-16 00:00:00";5;1422.2
298;107;348;"2025-06-27 00:00:00";2;361.74
299;491;412;"2025-06-14 00:00:00";2;378.66
300;1368;113;"2026-04-05 00:00:00";1;333.67
301;396;38;"2025-11-01 00:00:00";3;823.95
302;1543;282;"2025-10-15 00:00:00";5;270.4
303;381;210;"2025-05-28 00:00:00";3;1391.22
304;1151;24;"2025-10-03 00:00:00";1;457.85
305;560;245;"2025-09-20 00:00:00";3;339.75
306;834;267;"2025-08-27 00:00:00";1;74.78
307;2537;354;"2025-04-06 00:00:00";1;34.16
308;2446;383;"2025-09-02 00:00:00";2;335.92
309;1257;294;"2026-02-14 00:00:00";4;27.64
310;1998;39;"2025-09-20 00:00:00";2;552.18
311;1255;81;"2025-05-20 00:00:00";5;1525.0
312;738;31;"2025-09-01 00:00:00";2;648.04
313;1772;457;"2025-11-22 00:00:00";3;928.86
314;710;393;"2025-06-29 00:00:00";2;487.0
315;313;384;"2025-08-13 00:00:00";3;518.28
316;2701;34;"2025-07-24 00:00:00";3;106.95
317;1482;16;"2025-08-12 00:00:00";5;1433.35
318;2587;296;"2025-06-30 00:00:00";4;1157.44
319;656;332;"2025-11-05 00:00:00";2;391.78
320;416;292;"2025-05-24 00:00:00";5;1179.05
321;2131;140;"2025-08-07 00:00:00";5;2312.75
322;806;69;"2025-12-08 00:00:00";1;150.12
323;647;56;"2025-12-26 00:00:00";1;5.29
324;2935;7;"2026-02-07 00:00:00";1;287.18
325;2939;141;"2025-08-04 00:00:00";3;886.05
326;1095;299;"2025-07-10 00:00:00";4;45.24
327;812;102;"2025-07-03 00:00:00";5;2327.25
328;1685;466;"2025-07-17 00:00:00";1;157.47
329;2028;146;"2025-07-23 00:00:00";3;708.93
330;2521;335;"2025-10-30 00:00:00";5;1963.7
331;1790;46;"2026-04-02 00:00:00";5;1612.9
332;744;110;"2026-04-06 00:00:00";1;34.45
333;255;331;"2025-07-06 00:00:00";4;789.68
334;2504;81;"2026-01-20 00:00:00";5;1525.0
335;1570;251;"2026-03-14 00:00:00";4;123.36
336;2034;448;"2026-01-21 00:00:00";4;1024.44
337;749;459;"2025-11-08 00:00:00";5;701.2
338;2059;170;"2025-05-13 00:00:00";4;1091.96
339;2327;328;"2025-08-12 00:00:00";3;1056.45
340;2263;155;"2025-07-07 00:00:00";3;1416.54
341;1347;61;"2025-12-14 00:00:00";1;10.36
342;1864;423;"2025-09-19 00:00:00";3;1258.47
343;2823;46;"2025-06-15 00:00:00";2;645.16
344;2981;102;"2026-02-08 00:00:00";4;1861.8
345;1899;3;"2025-07-27 00:00:00";4;945.76
346;2475;178;"2025-06-09 00:00:00";1;487.46
347;2909;382;"2025-10-04 00:00:00";1;299.64
348;1042;208;"2025-10-14 00:00:00";4;1504.6
349;1745;150;"2026-03-01 00:00:00";1;176.1
350;2017;80;"2026-02-10 00:00:00";1;77.46
351;265;52;"2025-06-22 00:00:00";5;740.65
352;985;380;"2025-12-26 00:00:00";1;21.64
353;804;248;"2025-12-10 00:00:00";4;1963.92
354;2765;454;"2025-07-10 00:00:00";5;423.75
355;1387;403;"2025-07-14 00:00:00";2;554.64
356;2713;489;"2026-02-22 00:00:00";3;522.6
357;243;295;"2025-09-21 00:00:00";2;997.24
358;2267;352;"2026-04-03 00:00:00";1;120.42
359;2943;71;"2025-11-07 00:00:00";1;414.73
360;1005;483;"2025-09-23 00:00:00";1;304.94
361;605;118;"2026-01-19 00:00:00";4;1426.72
362;682;211;"2025-04-17 00:00:00";4;1274.52
363;2354;495;"2025-05-25 00:00:00";4;1693.08
364;333;16;"2026-03-18 00:00:00";1;286.67
365;1790;238;"2025-05-30 00:00:00";5;1189.1
366;1381;2;"2025-12-01 00:00:00";1;381.3
367;1937;398;"2026-02-09 00:00:00";4;905.8
368;1903;3;"2025-12-20 00:00:00";2;472.88
369;2226;422;"2025-07-31 00:00:00";3;549.9
370;2727;80;"2025-06-17 00:00:00";3;232.38
371;504;86;"2025-09-12 00:00:00";4;881.56
372;1613;62;"2025-05-24 00:00:00";4;1002.72
373;2812;63;"2025-04-23 00:00:00";1;400.17
374;122;258;"2026-02-05 00:00:00";3;912.72
375;818;155;"2026-02-18 00:00:00";3;1416.54
376;1564;470;"2026-02-05 00:00:00";4;1986.56
377;2575;380;"2025-06-10 00:00:00";3;64.92
378;483;8;"2025-04-10 00:00:00";4;604.0
379;2710;285;"2025-06-02 00:00:00";3;1362.03
380;2234;127;"2026-01-11 00:00:00";3;934.95
381;921;365;"2025-10-06 00:00:00";3;815.07
382;1554;192;"2025-08-23 00:00:00";1;291.63
383;704;269;"2025-06-08 00:00:00";5;529.2
384;174;222;"2025-07-26 00:00:00";4;1336.76
385;1402;122;"2025-06-06 00:00:00";4;1772.08
386;809;263;"2025-08-30 00:00:00";1;384.51
387;2472;209;"2025-10-19 00:00:00";4;876.12
388;2861;18;"2025-12-13 00:00:00";4;1428.76
389;2063;87;"2025-11-30 00:00:00";1;165.24
390;1988;190;"2025-07-26 00:00:00";2;830.72
391;2827;159;"2025-07-17 00:00:00";4;1920.12
392;1520;37;"2025-04-23 00:00:00";3;70.29
393;1301;415;"2025-04-24 00:00:00";5;851.1
394;1987;77;"2025-05-04 00:00:00";3;268.17
395;2137;455;"2025-08-15 00:00:00";5;1747.15
396;1963;307;"2026-02-07 00:00:00";4;1585.48
397;2378;132;"2026-01-19 00:00:00";5;1314.0
398;1431;171;"2026-01-15 00:00:00";3;110.94
399;2156;430;"2025-06-17 00:00:00";4;1941.24
400;483;238;"2025-10-03 00:00:00";5;1189.1
401;1097;52;"2025-07-30 00:00:00";1;148.13
402;2041;492;"2026-04-04 00:00:00";5;66.5
403;1561;386;"2026-01-25 00:00:00";5;1531.3
404;800;357;"2025-06-13 00:00:00";5;1630.45
405;1563;342;"2025-04-06 00:00:00";2;978.86
406;2616;358;"2025-09-10 00:00:00";1;377.35
407;387;351;"2025-11-18 00:00:00";5;1268.75
408;2285;350;"2026-03-20 00:00:00";3;1380.42
409;1727;157;"2026-03-11 00:00:00";4;1782.8
410;2588;40;"2025-05-30 00:00:00";2;645.16
411;2832;497;"2025-05-30 00:00:00";2;99.52
412;1157;4;"2025-12-23 00:00:00";4;772.4
413;778;284;"2025-05-30 00:00:00";2;877.96
414;749;98;"2025-09-22 00:00:00";2;59.3
415;2804;252;"2026-02-19 00:00:00";2;774.26
416;911;205;"2025-11-30 00:00:00";4;1909.12
417;2379;491;"2025-08-14 00:00:00";2;769.0
418;1944;323;"2025-08-20 00:00:00";4;1323.16
419;2229;230;"2025-05-07 00:00:00";5;2196.1
420;70;455;"2026-03-15 00:00:00";2;698.86
421;851;203;"2025-06-27 00:00:00";2;956.38
422;45;399;"2025-10-31 00:00:00";4;85.0
423;1258;378;"2025-07-18 00:00:00";3;370.05
424;603;426;"2026-03-03 00:00:00";2;814.66
425;2406;374;"2025-09-10 00:00:00";3;464.91
426;2806;185;"2026-01-09 00:00:00";5;1160.45
427;570;313;"2025-04-19 00:00:00";1;165.96
428;2623;3;"2026-02-21 00:00:00";2;472.88
429;2679;134;"2025-10-11 00:00:00";1;197.52
430;284;29;"2025-06-03 00:00:00";3;476.4
431;642;279;"2025-08-02 00:00:00";2;242.88
432;1189;338;"2025-07-01 00:00:00";4;971.28
433;1745;379;"2026-01-24 00:00:00";4;1565.8
434;57;297;"2025-06-12 00:00:00";4;866.28
435;682;432;"2025-05-07 00:00:00";4;48.96
436;884;122;"2026-03-15 00:00:00";4;1772.08
437;2979;485;"2026-01-13 00:00:00";1;361.05
438;604;213;"2026-02-10 00:00:00";4;1291.76
439;716;28;"2025-11-13 00:00:00";4;1534.8
440;1694;337;"2025-05-30 00:00:00";3;119.43
441;1876;478;"2026-03-07 00:00:00";1;337.29
442;953;21;"2025-05-08 00:00:00";5;483.35
443;1519;321;"2025-12-12 00:00:00";3;754.44
444;343;331;"2025-11-25 00:00:00";4;789.68
445;1174;375;"2026-03-06 00:00:00";5;1956.75
446;2134;395;"2025-04-13 00:00:00";3;1160.16
447;2466;243;"2026-01-19 00:00:00";3;1072.89
448;551;420;"2025-06-28 00:00:00";5;1299.7
449;1946;427;"2025-12-09 00:00:00";5;1436.05
450;1912;487;"2025-11-22 00:00:00";2;413.5
451;252;324;"2025-12-04 00:00:00";2;439.18
452;1297;157;"2025-11-19 00:00:00";4;1782.8
453;119;367;"2025-08-14 00:00:00";2;879.6
454;1426;30;"2025-05-01 00:00:00";1;56.67
455;797;164;"2025-06-14 00:00:00";4;1357.4
456;2762;31;"2025-10-05 00:00:00";5;1620.1
457;2477;160;"2025-10-18 00:00:00";5;2035.35
458;320;334;"2026-02-02 00:00:00";5;131.7
459;2035;429;"2025-08-21 00:00:00";3;1183.11
460;1284;9;"2025-09-22 00:00:00";1;137.52
461;482;14;"2025-11-26 00:00:00";3;1197.03
462;2799;157;"2026-03-28 00:00:00";2;891.4
463;670;452;"2025-11-17 00:00:00";4;1431.48
464;1991;254;"2025-12-12 00:00:00";3;360.51
465;1756;274;"2025-08-21 00:00:00";2;274.84
466;876;79;"2026-01-18 00:00:00";2;673.08
467;910;426;"2026-03-13 00:00:00";1;407.33
468;575;245;"2025-10-08 00:00:00";2;226.5
469;1040;10;"2026-02-23 00:00:00";5;2130.0
470;2836;166;"2025-07-17 00:00:00";5;1938.2
471;1937;329;"2025-10-12 00:00:00";4;1602.24
472;2900;459;"2025-10-29 00:00:00";3;420.72
473;894;478;"2025-05-02 00:00:00";4;1349.16
474;591;163;"2026-02-17 00:00:00";5;1971.15
475;830;371;"2025-12-22 00:00:00";3;1282.83
476;2009;102;"2025-05-19 00:00:00";4;1861.8
477;2913;62;"2026-04-03 00:00:00";5;1253.4
478;1563;52;"2025-07-31 00:00:00";2;296.26
479;1684;426;"2025-07-28 00:00:00";2;814.66
480;1133;320;"2025-10-02 00:00:00";5;290.4
481;2520;184;"2025-12-29 00:00:00";3;991.14
482;852;267;"2025-11-05 00:00:00";5;373.9
483;1465;289;"2025-10-19 00:00:00";1;91.87
484;1990;253;"2025-11-19 00:00:00";3;900.99
485;911;407;"2025-08-08 00:00:00";4;223.96
486;860;7;"2026-01-24 00:00:00";2;574.36
487;346;2;"2025-10-07 00:00:00";5;1906.5
488;2084;468;"2026-02-18 00:00:00";5;919.05
489;1879;363;"2025-06-01 00:00:00";3;1387.38
490;665;464;"2026-02-21 00:00:00";5;2246.6
491;2746;219;"2026-02-14 00:00:00";5;1261.5
492;2745;204;"2026-03-20 00:00:00";5;954.5
493;796;171;"2025-06-17 00:00:00";2;73.96
494;170;213;"2025-08-28 00:00:00";4;1291.76
495;1200;500;"2025-06-12 00:00:00";2;519.7
496;367;449;"2025-08-02 00:00:00";3;436.83
497;1195;429;"2026-02-18 00:00:00";4;1577.48
498;260;223;"2025-09-28 00:00:00";2;568.88
499;1877;199;"2025-06-26 00:00:00";5;63.55
500;779;239;"2026-03-01 00:00:00";1;213.89
501;2694;284;"2025-06-19 00:00:00";1;438.98
502;288;219;"2025-06-05 00:00:00";5;1261.5
503;1851;18;"2025-06-03 00:00:00";2;714.38
504;650;224;"2025-10-02 00:00:00";1;181.82
505;2439;171;"2025-05-02 00:00:00";5;184.9
506;2979;105;"2025-07-01 00:00:00";5;2290.95
507;2147;111;"2025-05-17 00:00:00";3;1056.54
508;1837;310;"2025-07-23 00:00:00";1;16.89
509;853;398;"2025-10-27 00:00:00";3;679.35
510;931;396;"2025-11-03 00:00:00";1;443.2
511;2948;358;"2025-08-04 00:00:00";5;1886.75
512;2558;103;"2025-11-07 00:00:00";3;1124.25
513;1522;449;"2026-01-28 00:00:00";5;728.05
514;600;298;"2026-02-13 00:00:00";2;450.18
515;91;241;"2025-04-23 00:00:00";4;114.08
516;450;6;"2025-12-10 00:00:00";5;1851.55
